id,text,labels_set,tokenized_text
22077,"«Байсуу» кафесинин жайкы аянтчасына бастырма курууга уруксаатты Бишкек башкы архитектуралык муниципалдык башкармалыгы берген. Бул тууралуу 24.kg агенттигине кафенин кожоюну Нурсултан Мейкин уулу билдирди.
Тиешелүү документке ылайык, кафени реконструкциялоого уруксаат ушул жылдын 28-апрелинде берилген. Ал 2019-жылга чейин жарактуу.
Курчап турган айлана чөйрөнү коргоо агенттигинин Чүй-Бишкек башкармалыгы кафени реконструкциялоо боюнча оң баасын берди.
Нурсултан Мейкин уулу түнкү клуб тууралуу маалыматты четке какты. Анын айтымында, кафе 1998-жылдан бери музыканын коштоосунда иш алып барып келет. Башкы архитектуралык муниципалдык башкармалыктан билдиришкендей, бастырманын курулушу мыйзамдуу.","development,local announcements","« Байсуу » кафесинин жайкы аянтчасына бастырма курууга уруксаатты Бишкек башкы архитектуралык муниципалдык башкармалыгы берген . Бул тууралуу 24 . kg агенттигине кафенин кожоюну Нурсултан Мейкин уулу билдирди . Тиешелүү документке ылайык , кафени реконструкциялоого уруксаат ушул жылдын 28- апрелинде берилген . Ал 2019- жылга чейин жарактуу . Курчап турган айлана чөйрөнү коргоо агенттигинин Чүй - Бишкек башкармалыгы кафени реконструкциялоо боюнча оң баасын берди . Нурсултан Мейкин уулу түнкү клуб тууралуу маалыматты четке какты . Анын айтымында , кафе 1998- жылдан бери музыканын коштоосунда иш алып барып келет . Башкы архитектуралык муниципалдык башкармалыктан билдиришкендей , бастырманын курулушу мыйзамдуу ."
4575,"Жер ресуртары боюнча мамлекеттик агенттиги түзүлдү. Бул тууралуу өкмөттүн аппаратынан билдиришти.
Тиешелүү чечимге премьер-министр Мухаммедкалый Абылгазиев кол койду.
Аталган агенттик жер ресуртарын жана жерге болгон укуктарын натыйжалуу башкаруу, жер ресурстары жана кыймылсыз мүлк боюнча толук кандуу геомаалыматтык тутумду түзүү, жер мыйзамдарын колдонуу жана сактоодо бирдейлигин камсыз кылуу, мамлекеттик чек араны делимитациялоо жана демаркациялоого байланыштуу топографиялык-геодезиялык жана жерге орноштуруу иштерин өз убагында жана сапаттуу аткаруу, кыймылсыз мүлккө укуктарды каттоо максаттарында түзүлгөн.
Белгилей кетсек, 2009-жылдын октябрында мамлекеттик башкаруу органдарын реформалоого чейин жер ресурстарын жана кыймылсыз мүлктү бирдиктүү жана натыйжалуу башкаруу тутуму -Кыймылсыз мүлккө укуктарды каттоо боюнча мамлекеттик агенттиги иштеген.
Бул мезгилде жер мамилелерин жана жерге орноштуруу, кыймылсыз мүлккө укуктарды мамлекеттик каттоо маселелерин жөнгө салуу ыкчам жана сапаттуу чечилип, мамлекеттик чек араны делимитациялоо жана демаркациялоого байланыштуу опографиялык-геодезиялык жана жерге орноштуруу иштери өз убагында аткарылып келген.","development,natural resources","Жер ресуртары боюнча мамлекеттик агенттиги түзүлдү . Бул тууралуу өкмөттүн аппаратынан билдиришти . Тиешелүү чечимге премьер-министр Мухаммедкалый Абылгазиев кол койду . Аталган агенттик жер ресуртарын жана жерге болгон укуктарын натыйжалуу башкаруу , жер ресурстары жана кыймылсыз мүлк боюнча толук кандуу геомаалыматтык тутумду түзүү , жер мыйзамдарын колдонуу жана сактоодо бирдейлигин камсыз кылуу , мамлекеттик чек араны делимитациялоо жана демаркациялоого байланыштуу топографиялык - геодезиялык жана жерге орноштуруу иштерин өз убагында жана сапаттуу аткаруу , кыймылсыз мүлккө укуктарды каттоо максаттарында түзүлгөн . Белгилей кетсек , 2009- жылдын октябрында мамлекеттик башкаруу органдарын реформалоого чейин жер ресурстарын жана кыймылсыз мүлктү бирдиктүү жана натыйжалуу башкаруу тутуму - Кыймылсыз мүлккө укуктарды каттоо боюнча мамлекеттик агенттиги иштеген . Бул мезгилде жер мамилелерин жана жерге орноштуруу , кыймылсыз мүлккө укуктарды мамлекеттик каттоо маселелерин жөнгө салуу ыкчам жана сапаттуу чечилип , мамлекеттик чек араны делимитациялоо жана демаркациялоого байланыштуу опографиялык - геодезиялык жана жерге орноштуруу иштери өз убагында аткарылып келген ."
14332,"«Өзгөн» мамлекеттик тарыхый-маданий музей-коругу түзүлдү. Тиешелүү чечимге министрлер кабинетинин төрагасы Акылбек Жапаров кол койгон.
Музей-коругу түзүү чечими тарыхый-маданий мурас объектилерин сактоо жана өнүктүрүү максатында кабыл алынган.
Белгилесек, буга чейин «Өзгөн» археологиялык-архитектуралык комплекси «Сулайман-Тоо» улуттук тарыхый-археологиялык музей комплексинин карамагында болгон жана кандайдыр-бир деңгээлде аны өнүктүрүүгө тоскоолдук келтирген.
Эске салсак, орто кылымдардагы Өзгөн чалдыбары эң алгачкы жана башкаруучунун резиденциясы орун алган чептен (Орто-Коргон же Өзгөн-3) жана Кара-Дарыя суусунун түндүк жээгинде жайгашкан шаарлардын аймагын түзгөн үч шахристан (Өзгөн-1, 2, 4) турат. Шаар VII -VIII кылымдарда пайда болуп, X кылымда Караханиддер мамлекетинин батыш бөлүгүнүн борбору болгон жана кийин XVI -кылымга чейин шаар катары турган.
Үч күмбөз, мунара жана үч шахристандын калдыктары сыяктуу Борбордук Азиянын тарыхынын жана маданиятынын уникалдуу эстеликтери жайгашкан «Өзгөн» мамлекеттик тарыхый-маданий музей-коругунун түзүлүшүнүн максаты — бул объектилерди келечек муундар үчүн сактоо жана туризмди өнүктүрүүгө салым кошуу.","culture,local announcements","« Өзгөн » мамлекеттик тарыхый - маданий музей - коругу түзүлдү . Тиешелүү чечимге министрлер кабинетинин төрагасы Акылбек Жапаров кол койгон . Музей - коругу түзүү чечими тарыхый - маданий мурас объектилерин сактоо жана өнүктүрүү максатында кабыл алынган . Белгилесек , буга чейин « Өзгөн » археологиялык - архитектуралык комплекси « Сулайман - Тоо » улуттук тарыхый - археологиялык музей комплексинин карамагында болгон жана кандайдыр - бир деңгээлде аны өнүктүрүүгө тоскоолдук келтирген . Эске салсак , орто кылымдардагы Өзгөн чалдыбары эң алгачкы жана башкаруучунун резиденциясы орун алган чептен ( Орто - Коргон же Өзгөн - 3 ) жана Кара - Дарыя суусунун түндүк жээгинде жайгашкан шаарлардын аймагын түзгөн үч шахристан ( Өзгөн - 1 , 2 , 4 ) турат . Шаар VII - VIII кылымдарда пайда болуп , X кылымда Караханиддер мамлекетинин батыш бөлүгүнүн борбору болгон жана кийин XVI - кылымга чейин шаар катары турган . Үч күмбөз , мунара жана үч шахристандын калдыктары сыяктуу Борбордук Азиянын тарыхынын жана маданиятынын уникалдуу эстеликтери жайгашкан « Өзгөн » мамлекеттик тарыхый - маданий музей - коругунун түзүлүшүнүн максаты — бул объектилерди келечек муундар үчүн сактоо жана туризмди өнүктүрүүгө салым кошуу ."
17050,"Чет элдик жарандарга үй курууга жана сатып алууга уруксат берилет. Турак жай кодексине өзгөртүү парламенттин кароосуна сунушталды.
Юстиция министрлигинин билдирүүсүндө, 2013-жылдын 9-июлунда кабыл алынган Турак жай кодексинде «чет элдик жарандарга турак жай алууга уруксат берүүчү орган» деп жазылганы менен анын жол-жобосу бекитилген эмес.
«Азыр кайсы орган буга милдеттүү экендиги дагы белгисиз. Андыктан бул укуктук боштук Кыргызстанда жашап, иштеп жана үй-жайлуу болгусу келген чет элдик жарандарга тоскоолдук түзөт», — дейт Юстиция министрлиги.
Мыйзам долбоордо инвестициялык визасы жана туруктуу жашоого уруксаты бар чет элдик жарандар үй сатып ала алышат. Аларга чек арага жакын аймактардан гана үйлүү болууга тыюу салынат.","law and crime,development,local announcements","Чет элдик жарандарга үй курууга жана сатып алууга уруксат берилет . Турак жай кодексине өзгөртүү парламенттин кароосуна сунушталды . Юстиция министрлигинин билдирүүсүндө , 2013- жылдын 9- июлунда кабыл алынган Турак жай кодексинде « чет элдик жарандарга турак жай алууга уруксат берүүчү орган » деп жазылганы менен анын жол - жобосу бекитилген эмес . « Азыр кайсы орган буга милдеттүү экендиги дагы белгисиз . Андыктан бул укуктук боштук Кыргызстанда жашап , иштеп жана үй - жайлуу болгусу келген чет элдик жарандарга тоскоолдук түзөт » , — дейт Юстиция министрлиги . Мыйзам долбоордо инвестициялык визасы жана туруктуу жашоого уруксаты бар чет элдик жарандар үй сатып ала алышат . Аларга чек арага жакын аймактардан гана үйлүү болууга тыюу салынат ."
22552,"6 жаштагы кызды зордуктаганга аракет жасаган деген айып менен кылмышка шектүүнү 20 жылга эркинен ажыратышты. Бул тууралуу Башкы прокуратуранын коррупцияга бөгөт коюу, социалдык сферадагы мыйзамдардын аткарылышын жана балдарды коргоону көзөмөлдөө бөлүмүнүн прокурору Талантбек уулу Нуржан маалымат жыйында билдирди.
Анын айтымында, өткөн жылдын ноябрында 42 жаштагы К. уулу С. мас абалында 6 жаштагы кызды эч ким жок жерге алдап алып барып, зордуктоого аракет кылган. Айылдын тургундары жардамга келишип, милиция чакырышкан.
Аталган факт боюнча кылмыш иши козголуп, кылмышка шектүү кармалган. Соттук териштирүүнүн жүрүшүндө ал күнөөлүү деп табылып, 20 жылга эркинен ажыратуу жазасы берилди.",law and crime,"6 жаштагы кызды зордуктаганга аракет жасаган деген айып менен кылмышка шектүүнү 20 жылга эркинен ажыратышты . Бул тууралуу Башкы прокуратуранын коррупцияга бөгөт коюу , социалдык сферадагы мыйзамдардын аткарылышын жана балдарды коргоону көзөмөлдөө бөлүмүнүн прокурору Талантбек уулу Нуржан маалымат жыйында билдирди . Анын айтымында , өткөн жылдын ноябрында 42 жаштагы К . уулу С . мас абалында 6 жаштагы кызды эч ким жок жерге алдап алып барып , зордуктоого аракет кылган . Айылдын тургундары жардамга келишип , милиция чакырышкан . Аталган факт боюнча кылмыш иши козголуп , кылмышка шектүү кармалган . Соттук териштирүүнүн жүрүшүндө ал күнөөлүү деп табылып , 20 жылга эркинен ажыратуу жазасы берилди ."
21906,"Баткенде каракчылыкка шектелип бир кыз кармалды. Бул тууралуу Баткен ОИИБнын басма сөз кызматы билдирди.
Маалыматка караганда, Сүлүктү шаарынын 32 жаштагы тургунунун үйүнө бейтааныш кыз кирип келип, ага жана анын 12 жаштагы кызынын моюнуна бычак такап, коркутуп, акча талап кылган. Анын сумкасынан 100 миң сом акчасын жана телефонун тартып алып, окуя болгон жерден качып кеткен.
Окуяга шектүү катары 20 жаштагы А.Ж. аттуу кыз кармалды. ",law and crime,"Баткенде каракчылыкка шектелип бир кыз кармалды . Бул тууралуу Баткен ОИИБнын басма сөз кызматы билдирди . Маалыматка караганда , Сүлүктү шаарынын 32 жаштагы тургунунун үйүнө бейтааныш кыз кирип келип , ага жана анын 12 жаштагы кызынын моюнуна бычак такап , коркутуп , акча талап кылган . Анын сумкасынан 100 миң сом акчасын жана телефонун тартып алып , окуя болгон жерден качып кеткен . Окуяга шектүү катары 20 жаштагы А . Ж . аттуу кыз кармалды ."
1415,"Чүй облусуна караштуу Сокулук районунда мас абалында таанышын сабаган тургун 5 жылга эркинен ажыратылды. Бул тууралуу Жогорку Соттун расмий сайты жазды.
Маалыматка ылайык, 20-октябрда Ж.А. аттуу жаран үч таанышы менен спирттик ичимдиктерди ичишкен. Андан кийин чогуу отурган А.А. аттуу жаран экөөнүн ортосунда ызы чуу болуп, айыпталуучу апасын сөккөндүгү үчүн таанышын сабап салган.
Жабырлануучу ооруканага жеткирилген. Соттук-медициналык экспертизанын жыйынтыгына ылайык, жабырлануучунун ден соолугуна чоң зыян келтирилген.
Айыпталуучу күнөөсүн жарым-жартылай моюнуна алды.",law and crime,"Чүй облусуна караштуу Сокулук районунда мас абалында таанышын сабаган тургун 5 жылга эркинен ажыратылды . Бул тууралуу Жогорку Соттун расмий сайты жазды . Маалыматка ылайык , 20-октябрда Ж . А . аттуу жаран үч таанышы менен спирттик ичимдиктерди ичишкен . Андан кийин чогуу отурган А . А . аттуу жаран экөөнүн ортосунда ызы чуу болуп , айыпталуучу апасын сөккөндүгү үчүн таанышын сабап салган . Жабырлануучу ооруканага жеткирилген . Соттук - медициналык экспертизанын жыйынтыгына ылайык , жабырлануучунун ден соолугуна чоң зыян келтирилген . Айыпталуучу күнөөсүн жарым-жартылай моюнуна алды ."
4811,"Бишкектеги Октябрь РИИБнын имаратынан өспүрүм кызды зордуктоого шектелген шектүү секирип кетти. Бул тууралуу ШИИББдан билдиришти.
Маалыматка караганда, шектүү өзүнө келбей каза болду.
«35 жаштагы Ж.Э. сурак берүү маалында стулдан тура калып терезеге чуркаган. Ал 3-кабаттан секирип кетти. Окуя болгон жерге тез жардам чакырылып, шектүүнү ооруканага алып барышкан. Ал өзүнө келбей каза болду», -деп жазылат маалыматта.",law and crime,"Бишкектеги Октябрь РИИБнын имаратынан өспүрүм кызды зордуктоого шектелген шектүү секирип кетти . Бул тууралуу ШИИББдан билдиришти . Маалыматка караганда , шектүү өзүнө келбей каза болду . « 35 жаштагы Ж . Э . сурак берүү маалында стулдан тура калып терезеге чуркаган . Ал 3-кабаттан секирип кетти . Окуя болгон жерге тез жардам чакырылып , шектүүнү ооруканага алып барышкан . Ал өзүнө келбей каза болду » , - деп жазылат маалыматта ."
5545,"Чүй облусунун Кемин районунда 14 жаштагы өспүрүм кызды өлтүрүүгө шектелип 20 жаштагы бала кармалды. Бул тууралуу Чүй облустук ички иштер башкармалыгынын басма сөз кызматы билдирди.
Облустук милиция тараткан маалыматка караганда, кыздын жакындары ал 20-сентябрда үйүнөн чыгып кеткен бойдон дайынсыз болуп жатканын айтып 22-сентябрда милицияга кайрылышкан. Бул окуя Кылмыштардын жана жоруктардын бирдиктүү реестрине катталып, издөө иштери жүргүзүлгөн. Жыйынтыгында анын сөөгү Кемин шаарында кароосуз калган үйдөн табылган.
Кызды өлтүрүүгө шектүү катары мурда бир нече жолу сот жообуна тартылган 20 жаштагы бала кармалып, камакка алынды.
Тергөөнүн маалыматы боюнча, ал 20-сентябрь күнү кечинде мас абалында баратып, Кеминдин көчөлөрүнүн биринен кызды көргөн. Аны күч менен алып барып, зордуктоого аракет кылган. Кыз каршылык көрсөткөндө бир нече сокку урган. Кыз алган жаракатынан каза болгон.
Бул факт Жазык кодексинин «Адам өлтүрүү» беренеси менен катталып, сотко чейинки өндүрүш жүрүп жатат.",law and crime,"Чүй облусунун Кемин районунда 14 жаштагы өспүрүм кызды өлтүрүүгө шектелип 20 жаштагы бала кармалды . Бул тууралуу Чүй облустук ички иштер башкармалыгынын басма сөз кызматы билдирди . Облустук милиция тараткан маалыматка караганда , кыздын жакындары ал 20-сентябрда үйүнөн чыгып кеткен бойдон дайынсыз болуп жатканын айтып 22-сентябрда милицияга кайрылышкан . Бул окуя Кылмыштардын жана жоруктардын бирдиктүү реестрине катталып , издөө иштери жүргүзүлгөн . Жыйынтыгында анын сөөгү Кемин шаарында кароосуз калган үйдөн табылган . Кызды өлтүрүүгө шектүү катары мурда бир нече жолу сот жообуна тартылган 20 жаштагы бала кармалып , камакка алынды . Тергөөнүн маалыматы боюнча , ал 20-сентябрь күнү кечинде мас абалында баратып , Кеминдин көчөлөрүнүн биринен кызды көргөн . Аны күч менен алып барып , зордуктоого аракет кылган . Кыз каршылык көрсөткөндө бир нече сокку урган . Кыз алган жаракатынан каза болгон . Бул факт Жазык кодексинин « Адам өлтүрүү » беренеси менен катталып , сотко чейинки өндүрүш жүрүп жатат ."
5181,"Экс-омбудсмен Турсунбек Акун «Апрель ТВ» телеканалы менен анын журналисти Канат Каниметовго карата болгон доо-арызын кайтарып албайт. Бул тууралуу ал 24.kg агенттигине билдирди.
Айтымында, канал учурда мүлкү камакка алынганына карабай, тараткан тастыкталбаган маалыматтары үчүн жооп бериши керек.
«Доо-арыздын суммасы 500 миң сом. Эгерде апрелчилер жана жеке Каниметов өзү Ютуб каналы аркылуу жалган маалымат бергенбиз деп моюндарына алышса, анда мен материалдык дооматымды артка кайтарып алам», -деди Турсунбек Акун.
Эске салсак, Турсунбек Акун мурунку президент Алмазбек Атамбаевге карата 100 миң сомдук доо-арызын артка кайтарып ала турганын буга чейин билдирген. Айтымында, Алмазбек Атамбаев камакта. Ага өтө оор делген беренелер боюнча айып тагылууда. Мындан улам, мурунку президент кылган иштерине жооп берет.
«Мындан улам, жарандык тартипте аны менен жалган жалаа боюнча соттошкондун мааниси жок. Ал мени 100 миң доллар пара алган деп айткандары жалган. Жакында муну далилдешет», -деди Турсунбек Акун.",law and crime,"Экс - омбудсмен Турсунбек Акун « Апрель ТВ » телеканалы менен анын журналисти Канат Каниметовго карата болгон доо - арызын кайтарып албайт . Бул тууралуу ал 24 . kg агенттигине билдирди . Айтымында , канал учурда мүлкү камакка алынганына карабай , тараткан тастыкталбаган маалыматтары үчүн жооп бериши керек . « Доо - арыздын суммасы 500 миң сом . Эгерде апрелчилер жана жеке Каниметов өзү Ютуб каналы аркылуу жалган маалымат бергенбиз деп моюндарына алышса , анда мен материалдык дооматымды артка кайтарып алам » , - деди Турсунбек Акун . Эске салсак , Турсунбек Акун мурунку президент Алмазбек Атамбаевге карата 100 миң сомдук доо - арызын артка кайтарып ала турганын буга чейин билдирген . Айтымында , Алмазбек Атамбаев камакта . Ага өтө оор делген беренелер боюнча айып тагылууда . Мындан улам , мурунку президент кылган иштерине жооп берет . « Мындан улам , жарандык тартипте аны менен жалган жалаа боюнча соттошкондун мааниси жок . Ал мени 100 миң доллар пара алган деп айткандары жалган . Жакында муну далилдешет » , - деди Турсунбек Акун ."
